chr,start,end,value1,gene
NC_002607.1,815317,818580,1,aglB
NC_002607.1,166681,167199,1,cdrL
NC_002607.1,166336,166503,1,cdrS
NC_002607.1,1356243,1356452,1,cspD2
NC_002607.1,165152,166333,1,ftsZ2
NC_002607.1,714164,715606,1,gapD
NC_002607.1,112247,112699,1,hpyA
NC_002607.1,1933811,1934248,1,idr1
NC_002607.1,633600,633962,1,idr2
NC_002607.1,1874236,1874547,1,mc1
NC_002607.1,412713,413390,1,sirR
NC_002607.1,1617647,1618510,1,tfbA
NC_002607.1,553409,554386,1,tfbB
NC_002608.1,282126,283079,1,tfbC
NC_002607.1,656539,657525,1,tfbD
NC_002608.1,307399,308322,1,tfbE
NC_002607.1,1074902,1075960,1,trmB
NC_002607.1,409159,409593,1,troR
NC_002607.1,1246366,1247169,1,ura3
NC_002607.1,888617,889207,1,copR
